Index,Comment
32,“Muka kau macam lipas” impacted hafiz so much that he used it in an old uxm video 
33,legendary
34,BEST COMBO EVER I SWEAR!
35,i actually watched this full video
36,Nice one
37,Hahaha kelakar sangatttt
38,great ep
39,W collab
40,24:52 my favourite la
41,"""Muka kau cam lipas"" pecah sia aku gelak
 This probaly the best podcast episode of this show siak"
42,i love you guys
43,HAHAHAHAHAHAHAAH KELAKARR GILLAAA WEYY
44,I miss the dare me la siol
45,I’m 32 years old and i followed uxm since 2012. Uxm korg the best!
46,entertainment sia . 2hrs went by fast
47,"Gifting hair to someone is actually a symbol of devotion can also be considered a sign of love. Especially before two lovers part ways. E.g going to war where they will part for long and there's no confirmation that the guy will come back alive. 

So yeah. That's explain the hair gift. Prolly the girl is devoting her undying love to them "
48,baik chap
49,"So where’s the part about staring,im still waiting "
50,Asal takda sound eh
51,W VIDEO
52,thanks for subs !
53,"Weh ep ni sumpah lawak 
 tolong la invite lagi these cockroach guys "
54,"Represent the chinese ehh kalau aku tkde byk bunyi, terus kasi balik ingat ni tmpt tanah dorg pergh"
55,"please ADD ENG SUBTITLES TILL THE END OF VID PLEASE
 28:10"
56,FIRST AH
57,UXM X BSMT1 CAR MEET 2023??
58,What is matrep bro ?
59,wait what hafiz is eldest? i tot it was shafie HAHAAHA
60,First
61,Honestly he looks like the lipas from oggy and the cockroaches...
62,jhjhjhjhjhihiu
63,"CUTENYAA UXM ARE MORE TO CONVERSING IN MALAY WHILE WELLO CONVERSE MORE IN ENGLISH
🫶"
64,Miko and uxm film the collab at woodlands drive 50 Block 892A
65,LOVE THIS
66,Get a partner who looks at u the way shanise looks at aslem when he talks
67,And how Haikel looks at Shanise
68,hope to see them in future podcasts! Love the chemistry 
69,"Nice episode, good to invite girls to get their opinions n perspectives"
70,"After all the DM and emoticons, she says “I actually just want to be a friend”"
71,"that line ""we will lead them to nowhere is true af hahaha"
72,At last I can hear this minah speak proper English......awesome!!!
73,"This vid was a banger fr 
 Shanise especially"
74,the way haikal look n smile at the girl in black...
75,The warrior poster really bring back my old childhood sia 
76,Shanise lowkey hitting on Aslem
77,aslem handsome maaaa pakistani
78,do you guys ever think to make a merch?? if yes i will be the one who buying it
79,LOVE SHANISE!!! HIDUP MINAHSSSSSSSSSSSS!
80,aslem so quiet like he not there
81,Like i said yet again guys Shanise the 
82,"i feel the past few episodes are more like interview rather than podcast, you guys go straight into the written down points which is quite unentertaining as compared to more relaxed or a lengthy intro"
83,"okay time to change my tinder profile bio... also, the man in orange sweater is very cute"
84,Aslem introvert 
85,"18:43 ""haikel lemme talk aaaaaa"" HAHAHAHHA"
86,Can we get a Q.A question during the podcast
87,"Haikal : How would you ask in a positive way?
Aslem: Babe you okay? You want any drinks?
 that killed me brah 48:20"
88,53:30 ni men signal apa ni 
89,Shanise saffron vibes lowkey
90,Shanise has toxic habits but lowkey seems like a matured person for her age
91,Shanise so beautiful sia
92,i dm every girl I know and I always seen them as friends
93,20:03 
94,dangggg... u guys are funny tho 
95,Who is josephine doh?
96,Who is the main guy?
97,"aslem jgn malu2 
 37:24"
98,Where pippo?
99,lessgo
100,"this topic i feel treads on dangerous grounds which thankfully managed to steer away from becoming a toxic debate. too many perspectives and approaches, boys and girls approach this differently, character also plays a part. introverts and extroverts and generation also plays a part. 

22:16-23:00... the risk is being led on to the point of no return where you end up having your emotions crumpled and you being a like a carpet stepped all over.

nice guys finish last."
101,noce
102,i feel like the girl in white dun let the girl in black talk
103,I curious who Shanise dated haha....
104,I think I know who Shanise dated at the last part 
105,nice :)
106,nice episode. invite nice2 girls
107,i need Haikal to dm me on how he styles his hair sial
108,"Honestly this episode is a bit boring. The intro is too quick, like it’d be better if you can intro who is Shanise (altho most of us know her) & Josephine. Josephine is abit too introverted for a podcast."
109,any of these girls looking for fwb?? i am so down
110,Man it's been awhile since there was a long video and I'm loving this
111,"wah this episode really made me relate a lot and also made me reflect on how i live life. sham’s advice or just opening up about his life and how he became who he is, was really inspirational. looked up to him before on tiktok but never knew his backstory. will move forward with his advices in mind! :D"
112,"Love this episode , feeling inspired just from listening to what Shah has to say. Keep up the good work Wello."
113,never felt a 1 hour plus video not bored cause of how sham talks and his motivation
114,Great conversation! Respect 
115,Fuh  3.58am in malaysia rn. Aku patut ya tidur but terlayan podcast bai. Srsly nice work love your story sham. Love from malaysia
116,Sham is a great conversationalist but the interviewers should stop interrupting him. It’s painful to watch. It’s okay to be curious but learn to pause and ask questions at the right time.
117,Eh Sia did not know it was 1 hour+ lmao honestly sham is my inspiration from going viral from during panda or is it grab idk to a business men owning his own clothing company than some more to a boxer from a negative solution cb damn.
118,Respect to this man.
119,"I thought Steven Lim vs Pradip Subramanian was the first, no?"
120,Next UXM la! Dorang getting higher and higher yall should collab
121,Best episode yet
122,This is my new favourite episode
123,"Violence its never a way to resolve a problem.  

Lead a good example.  

Hope people can open up their mind to think tru out your journey in life."
124,Pioneer
125,IM VERY EARLY THIS TIME YAYYYY
126,LFG!!
127,Power do this episode 
128,Aslem got mad sauce
129,now kita patut tibai tu barber la
130,"""datang dah la lambat,makan bising"" HHHAHAHAHAHAHAH ASLEM!!!!"
131,Wellos . Next invite nick mikhail la.. lol
132,why aslem punya baju when its the sponsor part so weird 
133,steven lim did it before ang mo leh hahah
134,Aslem very pay attention 
135,What happen to what the flak?
136,Kenapa abg sham nak lawan popo
137,English pls Broo :(
138,"""diam sial"" HAHAHA"
139,These 3 Wello guys are so damn clueless.
140,Saya macam Rasa dah nak mati
141,EYYY KATA AHAD MELAYU SIAALLAAA BAHAHAHAH
142,Such an intelligent yet humble person. An artist who's totally dedicated to his craft. Can tell he's a deep thinker too. Respect! 
143,Alyph’s mindset really change the way i think about life its like listening to ted talk 
144,"i loved listening to alif talk, he’s so mature and has a lot of wisdom. bagus la dia ni, so passionate and excels in what he does. respectful and down to earth too. his family must be very lucky to have him. truly inspires youths like myself to be better as well. hope one day i can see Alyph performing and also collaborating with bigger names in Asia out of the malay hip-hop community!"
145,I hope that wello will grow big someday so that they can upgrade their mic. Penat aku tengok diorang pegang 
146,"“ALYPH”
- THINKER
- Good advisor
- Determined"
147,"Im so proud of Alyph honestly. The way he voice out is so matured. Thinking positive and giving advice in the way others feel so comfortable. 
Proud of you and love your masterpiece "
148,Let's go Wello! 
149,"ALYPH + WELLO SHOW. Dua dua i like so i tak swipeee 
 tapi aslem pakai lens ah? "
150,Sapa rindu sleeq hahahaha
151,criminally underrated
152,"Alyph i cannot stop you from have thought “maybe” but youre awesome i grow up with your song and non of it disappoint me especially when you mention buat selamanya when part “yeahh , kenapa ?” Is a gold truly gold to my ears!!! Man every songs you buat issa gold if you ever maybe again just go its your world , alyph world!! go man release it all you want , love the give you wanna give to world thanks for the gift alyph we truly appreciate thanks wello for these "
153,a very2 good talk show guys. keep up the good work..im malaysian.u cant find these kind of show overhere..
154,Alyph such an inspiration 
155, @cj-fx2kj  no
156,luqmanpodolski next 
157,Damn alyph siaaaa 
158,Wello is fucking growing lets goooooo
159,Alyph's voice is so canduuu.. Tercandu canduuu.. 
160,Aslem dah jadi white walkers
161,Dari jama alip masih di sleeq gua udah dengerin musiknya. Single terbaru Swipe keren abis sih..
162,anjay lu bang mantap dah
163,"If talent exist without practice, is god unfair giving some people gift that they don't like? #justsaying. ( this tab window has been here for 5 days straight, another 15 minutes to finish this good and interesting interview. )"
164,suddenly aslem grey eyes hahahahaha
165,Datuk M Nasir & Arwah Loloq reading a lot of books to made a lyrics
166,Alamak y aslem never stutter or blank anymore siaaaaaa like last timee
167,alyphh
168,Lama-lama tenung aku tengok alyph ni muka dia macam malique ibrahim pun ada 
169,YOOOOOO
170,firstttt
171,Why wello become more tan seyhh ?
172,wtf happened to aslem eyes
173,suara alyph tak suara cam alyph
174,Next song will be ‘’Shiok’’
175,Issit me or alyph sound lil bit like scarface  Tony Montana. Say hello to my lil friend
176,Pergh
,0
0,i’ve got to say…. this was one of the best “chats” you guys have had with a guest. keep it up Wello! 
1,yall should settle the sibling rivalry with a gameshow it would be a good content. Achap is the host
2,Bruh such an unexpected but a dream collab!
3,"""Muke kau macam lipas"" worth the two hours of listening great podcast much love for you guys keep it up!"
4,what a sick collab. worth wtchg the whole 2hrs
5,Best Wello episode hands down 
6,"Appreciate the captions, solid gesture "
7,We neeed moreeee of this collabbb
8,"To be honest, nvr heard of UXM till I watched this interview. This is the best hands down.. Congratulations guys.."
9,"Just found this channel and watch some of your videos, but I can say this is by the far the best episode. The joke, vibe, stories are on the same level. Hope can collab again for other stuff"
10,"fuh siap ada subtitle, good job WELLO!"
11,wahh 2hrs liao .. let's goo laaa 
12,Best episode ever! Following UXM straightaway from Malaysia
13,this podcast is really funny guys! keep it up!
14,The most hilarious episode ever!
15,"I can never look at hafiz the same 
 Face like lipas "
16,"This is the first time I watch a YT video for 2hrs, awesome guys. "
17,Love we’ll always watched at Tiktok . Today so happy to watch at YouTube . Love y’all 
18,"I had never laughed soo much in one podcast, this was amazing !"
19,finally someone that really agree on how toxic twitter community is
20,"Shout to this episode ,I laughed no stop "
21,yess !! finally this Collab !!! uxm×wello
22,"the best episode so far 
🫶"
23,LAUGH TILL I CRY! MY GOSH! This is entertaining!
24,Finally long episode 
25,"HUHUUUU YAYY FINALLYYY NEWWW VIDEOOO !!!! 
 LESGOOOOO !!!!
Salute to UXM !!! 🫡
️
️"
26,Best video!
27,I literally choked when he said “your face like cockroach”… like wth..
28,i have been waiting you guys too post sia
29,The best interview bro laughing my ass off
30,"worth to watch, like a entertain show"
31,Last part very plot twist siaa 
32,“Muka kau macam lipas” impacted hafiz so much that he used it in an old uxm video 
33,legendary
34,BEST COMBO EVER I SWEAR!
35,i actually watched this full video
36,Nice one
37,Hahaha kelakar sangatttt
38,great ep
39,W collab
40,24:52 my favourite la
41,"""Muka kau cam lipas"" pecah sia aku gelak
 This probaly the best podcast episode of this show siak"
42,i love you guys
43,HAHAHAHAHAHAHAAH KELAKARR GILLAAA WEYY
44,I miss the dare me la siol
45,I’m 32 years old and i followed uxm since 2012. Uxm korg the best!
46,entertainment sia . 2hrs went by fast
